zip_code,type,primary_city,state,county,estimated_population,population_density,public_transit_pct,median_income,education_pct,median_home_value,density_score,transit_score,income_score,education_score,housing_score,composite_score,score_category
91108,STANDARD,San Marino,CA,Los Angeles County,12520,1270.1,5.006765899864682,186023.0,80.2,2000000.0,93.6446063468871,9.899741665641528,80.92336190882156,94.3529411764706,0.0,59.35,Good (50-70)
91201,STANDARD,Glendale,CA,Los Angeles County,17448,3606.6,2.5081465389552684,74980.0,34.4,1060500.0,81.9531038899953,4.959289747479734,22.48675160375323,40.470588235294116,55.23871119473189,39.82,Fair (30-50)
91202,STANDARD,Glendale,CA,Los Angeles County,17687,1746.2,2.656158785755984,92343.0,48.6,1094500.0,91.26227194940104,5.251950326381149,31.624066560363744,57.1764705882353,53.23965192850423,47.33,Fair (30-50)
91203,STANDARD,Glendale,CA,Los Angeles County,10833,7249.0,1.8031189083820662,77925.0,45.8,661300.0,63.72706984377971,3.5652578415736302,24.03656399488483,53.88235294117647,78.71001881467545,45.32,Fair (30-50)
91204,STANDARD,Glendale,CA,Los Angeles County,11153,6968.8,2.627864046041916,72906.0,35.9,747400.0,65.1291494450727,5.196003909219242,21.395304778895184,42.23529411764706,73.64769520225776,41.19,Fair (30-50)
91205,STANDARD,Glendale,CA,Los Angeles County,27150,7107.9,4.382849169098059,59005.0,39.1,763100.0,64.43311349739298,8.666088129807525,14.079874541502871,46.0,72.72460018814675,40.53,Fair (30-50)
91206,STANDARD,Glendale,CA,Los Angeles County,25063,2165.8,1.1912640635340834,86684.0,46.5,1094100.0,89.16265524453829,2.3554539438060282,28.646006009798814,54.70588235294118,53.26317027281279,45.22,Fair (30-50)
91207,STANDARD,Glendale,CA,Los Angeles County,8398,2579.1,0.8313057583130575,108196.0,51.1,1246300.0,87.0945628133663,1.6437182039371816,39.96674086821069,60.11764705882353,44.31444026340545,47.19,Fair (30-50)
91208,STANDARD,Glendale,CA,Los Angeles County,13555,808.0,0.2140181915462814,131229.0,62.0,1276300.0,95.95688680283818,0.42317233328469267,52.087905148324154,72.94117647058823,42.55056444026341,54.22,Good (50-70)
91214,STANDARD,La Crescenta,CA,Los Angeles County,25651,1682.0,0.49368088467614535,131716.0,59.2,1088200.0,91.58351930986859,0.9761417492460145,52.34418991385253,69.64705882352942,53.61006585136406,55.1,Good (50-70)
91301,STANDARD,Agoura Hills,CA,Los Angeles County,22555,285.4,0.12213207711768298,166912.0,65.7,1096600.0,98.57190036327972,0.24148842520996405,70.86615830715229,77.29411764705883,53.11618062088429,62.49,Good (50-70)
91302,STANDARD,Calabasas,CA,Los Angeles County,22015,368.6,0.42977479800584495,167470.0,70.9,1674900.0,98.15557979644326,0.8497819869661024,71.15980697073512,83.41176470588236,19.114534336782697,57.32,Good (50-70)
91303,STANDARD,Canoga Park,CA,Los Angeles County,17718,5388.2,6.978862973760933,76051.0,24.7,645300.0,73.03823944437217,13.799115425390934,23.050367587081563,29.058823529411764,79.65075258701788,41.98,Fair (30-50)
